PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
80,yes,3,female,21,0,0,364516,12.475,F2,S
81,no,3,male,33,0,0,345767,9,C23 C25 C27,S
82,yes,3,male,37,0,0,345779,9.5,F33,Q
83,yes,3,female,28,0,0,330932,7.7875,C128,S
84,no,1,male,21,0,0,113059,47.1,E33,S
85,yes,2,female,38,0,0,SO/C 14885,10.5,D37,S
86,yes,3,female,47,3,0,3101278,15.85,B35,S
87,no,3,male,14.5,1,3,W./C. 6608,34.375,E50,S
88,no,3,male,22,0,0,SOTON/OQ 392086,8.05,C82,S
89,yes,1,female,20,3,2,19950,263,B96 B98,S
90,no,3,male,17,0,0,343275,8.05,D36,S
91,no,3,male,21,0,0,343276,8.05,G6,S
92,no,3,male,70.5,0,0,347466,7.8542,C78,S
93,no,1,male,29,1,0,W.E.P. 5734,61.175,E10,S
94,no,3,male,24,1,2,C.A. 2315,20.575,C52,S
95,no,3,male,2,0,0,364500,7.25,E44,S
96,no,3,male,21,0,0,374910,8.05,B96 B98,C
97,no,1,male,32.5,0,0,PC 17754,34.6542,C23 C25 C27,C
98,yes,1,male,32.5,0,1,PC 17759,63.3583,A34,S
99,yes,2,female,54,0,1,231919,23,C104,S
100,no,2,male,12,1,0,244367,26,C111,S
101,no,3,female,24,0,0,349245,7.8958,C92,S
102,no,3,male,45,0,0,349215,7.8958,E38,S
103,no,1,male,33,0,1,35281,77.2875,D21,S
104,no,3,male,20,0,0,7540,8.6542,E12,S
105,no,3,male,47,2,0,3101276,7.925,E63,S
106,no,3,male,29,0,0,349207,7.8958,D,S
107,yes,3,female,25,0,0,343120,7.65,A14,S
108,yes,3,male,23,0,0,312991,7.775,B49,S
109,no,3,male,19,0,0,349249,7.8958,C93,Q
110,yes,3,female,37,1,0,371110,24.15,B37,S
111,no,1,male,16,0,0,110465,52,C30,C
112,no,3,female,24,1,0,2665,14.4542,D20,S
113,no,3,male,22,0,0,324669,8.05,C22 C26,S
114,no,3,female,24,1,0,4136,9.825,B79,C
115,no,3,female,19,0,0,2627,14.4583,C65,S
116,no,3,male,18,0,0,STON/O 2. 3101294,7.925,E25,Q
117,no,3,male,19,0,0,370369,7.75,D46,S
118,no,2,male,27,1,0,11668,21,F33,C
119,no,1,male,9,0,1,PC 17558,247.5208,B73,S
120,no,3,female,36.5,4,2,347082,31.275,B18,S
121,no,2,male,42,2,0,S.O.C. 14879,73.5,C95,S
122,no,3,male,51,0,0,A4. 54510,8.05,B38,C
123,no,2,male,22,1,0,237736,30.0708,B39,S
124,yes,2,female,55.5,0,0,27267,13,B22,S
125,no,1,male,40.5,0,1,35281,77.2875,C86,C
126,yes,3,male,51,1,0,2651,11.2417,C70,Q
127,no,3,male,16,0,0,370372,7.75,A16,S
128,yes,3,male,30,0,0,C 17369,7.1417,E67,C
129,yes,3,female,44,1,1,2668,22.3583,C101,S
130,no,3,male,40,0,0,347061,6.975,E25,C
131,no,3,male,26,0,0,349241,7.8958,E44,S
132,no,3,male,17,0,0,SOTON/O.Q. 3101307,7.05,C68,S
133,no,3,female,1,1,0,A/5. 3337,14.5,A10,S
134,yes,2,female,9,1,0,228414,26,E68,S
135,no,2,male,45,0,0,C.A. 29178,13,B41,C
136,no,2,male,28,0,0,SC/PARIS 2133,15.0458,D20,S
137,yes,1,female,61,0,2,11752,26.2833,A20,S
138,no,1,male,4,1,0,113803,53.1,C125,S
139,no,3,male,1,0,0,7534,9.2167,F4,C
140,no,1,male,21,0,0,PC 17593,79.2,D19,C
141,no,3,female,56,0,2,2678,15.2458,D50,S
142,yes,3,female,18,0,0,347081,7.75,D9,S
143,yes,3,female,50,1,0,STON/O2. 3101279,15.85,A23,Q
144,no,3,male,30,0,0,365222,6.75,B50,S
145,no,2,male,36,0,0,231945,11.5,B35,S
146,no,2,male,9,1,1,C.A. 33112,36.75,D33,S
147,yes,3,male,1,0,0,350043,7.7958,A26,S
148,no,3,female,4,2,2,W./C. 6608,34.375,D48,S
149,no,2,male,45,0,2,230080,26,E58,S
150,no,2,male,40,0,0,244310,13,C126,S
151,no,2,male,36,0,0,S.O.P. 1166,12.525,B71,S
152,yes,1,female,32,1,0,113776,66.6,B51 B53 B55,S
153,no,3,male,19,0,0,A.5. 11206,8.05,D49,S
154,no,3,male,19,0,2,A/5. 851,14.5,B5,S
155,no,3,male,3,0,0,Fa 265302,7.3125,B20,C
156,no,1,male,44,0,1,PC 17597,61.3792,C68,Q
157,yes,3,female,58,0,0,35851,7.7333,F G63,S
158,no,3,male,42,0,0,SOTON/OQ 392090,8.05,C62 C64,S
159,no,3,male,24,0,0,315037,8.6625,E24,S
160,no,3,male,28,8,2,CA. 2343,69.55,E24,S
161,no,3,male,34,0,1,371362,16.1,C90,S
162,yes,2,female,45.5,0,0,C.A. 33595,15.75,C124,S
163,no,3,male,18,0,0,347068,7.775,C126,S
164,no,3,male,2,0,0,315093,8.6625,F G73,S
165,no,3,male,32,4,1,3101295,39.6875,C45,S
166,yes,3,male,26,0,2,363291,20.525,E101,S
167,yes,1,female,16,0,1,113505,55,E8,S
168,no,3,female,40,1,4,347088,27.9,B5,S
169,no,1,male,24,0,0,PC 17318,25.925,B101,S
170,no,3,male,35,0,0,1601,56.4958,D45,S
171,no,1,male,22,0,0,111240,33.5,C46,Q
172,no,3,male,30,4,1,382652,29.125,B57 B59 B63 B66,S
173,yes,3,female,31,1,1,347742,11.1333,B22,S
174,no,3,male,27,0,0,STON/O 2. 3101280,7.925,D30,C
175,no,1,male,42,0,0,17764,30.6958,E121,S
176,no,3,male,32,1,1,350404,7.8542,B77,S
177,no,3,male,30,3,1,4133,25.4667,B96 B98,C
178,no,1,female,16,0,0,PC 17595,28.7125,D11,S
179,no,2,male,27,0,0,250653,13,E77,S
180,no,3,male,51,0,0,LINE,0,F38,S
181,no,3,female,38,8,2,CA. 2343,69.55,B3,C
182,no,2,male,22,0,0,SC/PARIS 2131,15.05,B20,S
183,no,3,male,19,4,2,347077,31.3875,D6,S
184,yes,2,male,20.5,2,1,230136,39,B82 B84,S
185,yes,3,female,18,0,2,315153,22.025,D17,S
186,no,1,male,35,0,0,113767,50,B96 B98,Q
187,yes,3,female,29,1,0,370365,15.5,A36,S
188,yes,1,male,59,0,0,111428,26.55,E8,Q
189,no,3,male,5,1,1,364849,15.5,B102,S
190,no,3,male,24,0,0,349247,7.8958,B69,S
191,yes,2,female,44,0,0,234604,13,E121,S
192,no,2,male,8,0,0,28424,13,B28,S
193,yes,3,female,19,1,0,350046,7.8542,E49,S
194,yes,2,male,33,1,1,230080,26,C47,C
195,yes,1,female,29,0,0,PC 17610,27.7208,C92,C
196,yes,1,female,22,0,0,PC 17569,146.5208,D28,Q
197,no,3,male,30,0,0,368703,7.75,E17,S
198,no,3,male,44,0,1,4579,8.4042,D17,Q
199,yes,3,female,25,0,0,370370,7.75,A24,S
200,no,2,female,24,0,0,248747,13,D35,S
201,no,3,male,37,0,0,345770,9.5,B51 B53 B55,S
202,no,3,male,54,8,2,CA. 2343,69.55,C50,S
203,no,3,male,29,0,0,3101264,6.4958,B42,C
204,no,3,male,62,0,0,2628,7.225,C148,S
205,yes,3,male,30,0,0,A/5 3540,8.05,NA,S
206,no,3,female,41,0,1,347054,10.4625,NA,S
207,no,3,male,29,1,0,3101278,15.85,NA,C
208,yes,3,male,30,0,0,2699,18.7875,NA,Q
209,yes,3,female,35,0,0,367231,7.75,NA,C
210,yes,1,male,50,0,0,112277,31,NA,S
211,no,3,male,3,0,0,SOTON/O.Q. 3101311,7.05,NA,S
212,yes,2,female,52,0,0,F.C.C. 13528,21,NA,S
213,no,3,male,40,0,0,A/5 21174,7.25,NA,S
214,no,2,male,36,0,0,250646,13,NA,Q
215,no,3,male,16,1,0,367229,7.75,NA,C
216,yes,1,female,25,1,0,35273,113.275,NA,S
217,yes,3,female,58,0,0,STON/O2. 3101283,7.925,NA,S
218,no,2,male,35,1,0,243847,27,NA,C
219,yes,1,female,25,0,0,11813,76.2917,NA,S
220,no,2,male,41,0,0,W/C 14208,10.5,NA,S
221,yes,3,male,37,0,0,SOTON/OQ 392089,8.05,NA,S
222,no,2,male,63,0,0,220367,13,NA,S
223,no,3,male,45,0,0,21440,8.05,NA,S
224,no,3,male,7,0,0,349234,7.8958,NA,S
225,yes,1,male,35,1,0,19943,90,NA,S
226,no,3,male,65,0,0,PP 4348,9.35,NA,S
227,yes,2,male,28,0,0,SW/PP 751,10.5,NA,S
228,no,3,male,16,0,0,A/5 21173,7.25,NA,S
229,no,2,male,19,0,0,236171,13,NA,S
230,no,3,female,33,3,1,4133,25.4667,NA,S
231,yes,1,female,30,1,0,36973,83.475,NA,S
232,no,3,male,22,0,0,347067,7.775,NA,S
233,no,2,male,42,0,0,237442,13.5,NA,S
234,yes,3,female,22,4,2,347077,31.3875,NA,S
235,no,2,male,26,0,0,C.A. 29566,10.5,NA,S
236,no,3,female,19,0,0,W./C. 6609,7.55,NA,S
237,no,2,male,36,1,0,26707,26,NA,S
238,yes,2,female,24,0,2,C.A. 31921,26.25,NA,S
239,no,2,male,24,0,0,28665,10.5,NA,S
240,no,2,male,23.5,0,0,SCO/W 1585,12.275,NA,C
241,no,3,female,2,1,0,2665,14.4542,NA,Q
242,yes,3,female,50,1,0,367230,15.5,NA,S
243,no,2,male,19,0,0,W./C. 14263,10.5,NA,S
244,no,3,male,0.92,0,0,STON/O 2. 3101275,7.125,NA,C
245,no,3,male,17,0,0,2694,7.225,NA,Q
246,no,1,male,30,2,0,19928,90,NA,S
247,no,3,female,30,0,0,347071,7.775,NA,S
248,yes,2,female,24,0,2,250649,14.5,NA,S
249,yes,1,male,18,1,1,11751,52.5542,NA,S
250,no,2,male,26,1,0,244252,26,NA,S
251,no,3,male,28,0,0,362316,7.25,NA,S
252,no,3,female,43,1,1,347054,10.4625,NA,S
253,no,1,male,26,0,0,113514,26.55,NA,S
254,no,3,male,24,1,0,A/5. 3336,16.1,NA,S
255,no,3,female,54,0,2,370129,20.2125,NA,C
256,yes,3,female,31,0,2,2650,15.2458,NA,C
257,yes,1,female,40,0,0,PC 17585,79.2,NA,S
258,yes,1,female,22,0,0,110152,86.5,NA,C
259,yes,1,female,27,0,0,PC 17755,512.3292,NA,S
260,yes,2,female,30,0,1,230433,26,NA,Q
261,no,3,male,22,0,0,384461,7.75,NA,S
262,yes,3,male,36,4,2,347077,31.3875,NA,S
263,no,1,male,61,1,1,110413,79.65,NA,S
264,no,1,male,36,0,0,112059,0,NA,Q
265,no,3,female,31,0,0,382649,7.75,NA,S
266,no,2,male,16,0,0,C.A. 17248,10.5,NA,S
267,no,3,male,45.5,4,1,3101295,39.6875,NA,S
268,yes,3,male,38,1,0,347083,7.775,NA,S
269,yes,1,female,16,0,1,PC 17582,153.4625,NA,S
270,yes,1,female,29,0,0,PC 17760,135.6333,NA,S
271,no,1,male,41,0,0,113798,31,NA,S
272,yes,3,male,45,0,0,LINE,0,NA,S
273,yes,2,female,45,0,1,250644,19.5,NA,C
274,no,1,male,2,0,1,PC 17596,29.7,NA,Q
275,yes,3,female,24,0,0,370375,7.75,NA,S
276,yes,1,female,28,1,0,13502,77.9583,NA,S
277,no,3,female,25,0,0,347073,7.75,NA,S
278,no,2,male,36,0,0,239853,0,NA,Q
279,no,3,male,24,4,1,382652,29.125,NA,S
280,yes,3,female,40,1,1,C.A. 2673,20.25,NA,Q
281,no,3,male,3,0,0,336439,7.75,NA,S
282,no,3,male,42,0,0,347464,7.8542,NA,S
283,no,3,male,23,0,0,345778,9.5,NA,S
284,yes,3,male,15,0,0,A/5. 10482,8.05,NA,S
285,no,1,male,25,0,0,113056,26,NA,C
286,no,3,male,28,0,0,349239,8.6625,NA,S
287,yes,3,male,22,0,0,345774,9.5,NA,S
288,no,3,male,38,0,0,349206,7.8958,NA,S
289,yes,2,male,40,0,0,237798,13,NA,Q
290,yes,3,female,29,0,0,370373,7.75,NA,S
291,yes,1,female,45,0,0,19877,78.85,NA,C
292,yes,1,female,35,1,0,11967,91.0792,NA,C
293,no,2,male,30,0,0,SC/Paris 2163,12.875,NA,S
294,no,3,female,60,0,0,349236,8.85,NA,S
295,no,3,male,24,0,0,349233,7.8958,NA,C
296,no,1,male,25,0,0,PC 17612,27.7208,NA,C
297,no,3,male,18,0,0,2693,7.2292,NA,S
298,no,1,female,19,1,2,113781,151.55,NA,S
299,yes,1,male,22,0,0,19988,30.5,NA,C
300,yes,1,female,3,0,1,PC 17558,247.5208,NA,Q
301,yes,3,female,22,0,0,9234,7.75,NA,Q
302,yes,3,male,27,2,0,367226,23.25,NA,S
303,no,3,male,20,0,0,LINE,0,NA,Q
304,yes,2,female,19,0,0,226593,12.35,NA,S
305,no,3,male,42,0,0,A/5 2466,8.05,NA,S
306,yes,1,male,1,1,2,113781,151.55,NA,C
307,yes,1,female,32,0,0,17421,110.8833,NA,C
308,yes,1,female,35,1,0,PC 17758,108.9,NA,C
309,no,2,male,18,1,0,P/PP 3381,24,NA,C
310,yes,1,female,1,0,0,PC 17485,56.9292,NA,C
311,yes,1,female,36,0,0,11767,83.1583,NA,C
312,yes,1,female,17,2,2,PC 17608,262.375,NA,S
313,no,2,female,36,1,1,250651,26,NA,S
314,no,3,male,21,0,0,349243,7.8958,NA,S
315,no,2,male,28,1,1,F.C.C. 13529,26.25,NA,S
316,yes,3,female,23,0,0,347470,7.8542,NA,S
317,yes,2,female,24,1,0,244367,26,NA,S
318,no,2,male,22,0,0,29011,14,NA,S
319,yes,1,female,31,0,2,36928,164.8667,NA,C
320,yes,1,female,46,1,1,16966,134.5,NA,S
321,no,3,male,23,0,0,A/5 21172,7.25,NA,S
322,no,3,male,28,0,0,349219,7.8958,NA,Q
323,yes,2,female,39,0,0,234818,12.35,NA,S
324,yes,2,female,26,1,1,248738,29,NA,S
325,no,3,male,21,8,2,CA. 2343,69.55,NA,C
326,yes,1,female,28,0,0,PC 17760,135.6333,NA,S
327,no,3,male,20,0,0,345364,6.2375,NA,S
328,yes,2,female,34,0,0,28551,13,NA,S
329,yes,3,female,51,1,1,363291,20.525,NA,C
330,yes,1,female,3,0,1,111361,57.9792,NA,Q
331,yes,3,female,21,2,0,367226,23.25,NA,S
332,no,1,male,33,0,0,113043,28.5,NA,S
333,no,1,male,44,0,1,PC 17582,153.4625,NA,S
334,no,3,male,34,2,0,345764,18,NA,S
335,yes,1,female,18,1,0,PC 17611,133.65,NA,S
336,no,3,male,30,0,0,349225,7.8958,NA,S
337,no,1,male,10,1,0,113776,66.6,NA,C
338,yes,1,female,21,0,0,16966,134.5,NA,S
339,yes,3,male,29,0,0,7598,8.05,NA,S
340,no,1,male,28,0,0,113784,35.5,NA,S
341,yes,2,male,18,1,1,230080,26,NA,S
342,yes,1,female,28,3,2,19950,263,NA,S
343,no,2,male,19,0,0,248740,13,NA,S
344,no,2,male,32,0,0,244361,13,NA,S
345,no,2,male,28,0,0,229236,13,NA,S
346,yes,2,female,42,0,0,248733,13,NA,S
347,yes,2,female,17,0,0,31418,13,NA,S
348,yes,3,female,50,1,0,386525,16.1,NA,S
349,yes,3,male,14,1,1,C.A. 37671,15.9,NA,S
350,no,3,male,21,0,0,315088,8.6625,NA,S
351,no,3,male,24,0,0,7267,9.225,NA,S
352,no,1,male,64,0,0,113510,35,NA,C
353,no,3,male,31,1,1,2695,7.2292,NA,S
354,no,3,male,45,1,0,349237,17.8,NA,C
355,no,3,male,20,0,0,2647,7.225,NA,S
356,no,3,male,25,0,0,345783,9.5,NA,S
357,yes,1,female,28,0,1,113505,55,NA,S
358,no,2,female,4,0,0,237671,13,NA,Q
359,yes,3,female,13,0,0,330931,7.8792,NA,Q
360,yes,3,female,34,0,0,330980,7.8792,NA,S
361,no,3,male,5,1,4,347088,27.9,NA,C
362,no,2,male,52,1,0,SC/PARIS 2167,27.7208,NA,C
363,no,3,female,36,0,1,2691,14.4542,NA,S
364,no,3,male,30,0,0,SOTON/O.Q. 3101310,7.05,NA,Q
365,no,3,male,49,1,0,370365,15.5,NA,S
366,no,3,male,29,0,0,C 7076,7.25,NA,C
367,yes,1,female,65,1,0,110813,75.25,NA,C
368,yes,3,female,50,0,0,2626,7.2292,NA,Q
369,yes,3,female,48,0,0,14313,7.75,NA,C
370,yes,1,female,34,0,0,PC 17477,69.3,NA,C
371,yes,1,male,47,1,0,11765,55.4417,NA,S
372,no,3,male,48,1,0,3101267,6.4958,NA,S
373,no,3,male,38,0,0,323951,8.05,NA,C
374,no,1,male,56,0,0,PC 17760,135.6333,NA,S
375,no,3,female,0.75,3,1,349909,21.075,NA,C
376,yes,1,female,38,1,0,PC 17604,82.1708,NA,S
377,yes,3,female,33,0,0,C 7077,7.25,NA,C
378,no,1,male,23,0,2,113503,211.5,NA,C
379,no,3,male,22,0,0,2648,4.0125,NA,S
380,no,3,male,34,0,0,347069,7.775,NA,C
381,yes,1,female,29,0,0,PC 17757,227.525,NA,C
382,yes,3,female,22,0,2,2653,15.7417,NA,S
383,no,3,male,2,0,0,STON/O 2. 3101293,7.925,NA,S
384,yes,1,female,9,1,0,113789,52,NA,S
385,no,3,male,50,0,0,349227,7.8958,NA,S
386,no,2,male,63,0,0,S.O.C. 14879,73.5,NA,S
387,no,3,male,25,5,2,CA 2144,46.9,NA,S
388,yes,2,female,35,0,0,27849,13,NA,Q
389,no,3,male,58,0,0,367655,7.7292,NA,C
390,yes,2,female,30,0,0,SC 1748,12,NA,S
391,yes,1,male,9,1,2,113760,120,NA,S
392,yes,3,male,21,0,0,350034,7.7958,NA,S
393,no,3,male,55,2,0,3101277,7.925,NA,C
394,yes,1,female,71,1,0,35273,113.275,NA,S
395,yes,3,female,21,0,2,PP 9549,16.7,NA,S
396,no,3,male,54,0,0,350052,7.7958,NA,S
397,no,3,female,25,0,0,350407,7.8542,NA,S
398,no,2,male,24,0,0,28403,26,NA,S
399,no,2,male,17,0,0,244278,10.5,NA,S
400,yes,2,female,21,0,0,240929,12.65,NA,S
401,yes,3,male,37,0,0,STON/O 2. 3101289,7.925,NA,S
402,no,3,male,16,0,0,341826,8.05,NA,S
403,no,3,female,18,1,0,4137,9.825,NA,S
404,no,3,male,33,1,0,STON/O2. 3101279,15.85,NA,S
405,no,3,female,28,0,0,315096,8.6625,NA,S
406,no,2,male,26,1,0,28664,21,NA,S
407,no,3,male,29,0,0,347064,7.75,NA,S
408,yes,2,male,36,1,1,29106,18.75,NA,S
409,no,3,male,54,0,0,312992,7.775,NA,S
410,no,3,female,24,3,1,4133,25.4667,NA,S
411,no,3,male,47,0,0,349222,7.8958,NA,Q
412,no,3,male,34,0,0,394140,6.8583,NA,Q
413,yes,1,female,36,1,0,19928,90,NA,S
414,no,2,male,32,0,0,239853,0,NA,S
415,yes,3,male,30,0,0,STON/O 2. 3101269,7.925,NA,S
416,no,3,female,22,0,0,343095,8.05,NA,S
417,yes,2,female,44,1,1,28220,32.5,NA,S
418,yes,2,female,40.5,0,2,250652,13,NA,S
419,no,2,male,50,0,0,28228,13,NA,S
420,no,3,female,39,0,2,345773,24.15,NA,C
421,no,3,male,23,0,0,349254,7.8958,NA,Q
422,no,3,male,2,0,0,A/5. 13032,7.7333,NA,S
423,no,3,male,17,0,0,315082,7.875,NA,S
424,no,3,female,30,1,1,347080,14.4,NA,S
425,no,3,male,7,1,1,370129,20.2125,NA,S
426,no,3,male,45,0,0,A/4. 34244,7.25,NA,S
427,yes,2,female,30,1,0,2003,26,NA,S
428,yes,2,female,22,0,0,250655,26,NA,Q
429,no,3,male,36,0,0,364851,7.75,NA,S
430,yes,3,male,9,0,0,SOTON/O.Q. 392078,8.05,NA,S
431,yes,1,male,11,0,0,110564,26.55,NA,S
432,yes,3,female,32,1,0,376564,16.1,NA,S
433,yes,2,female,50,1,0,SC/AH 3085,26,NA,S
434,no,3,male,64,0,0,STON/O 2. 3101274,7.125,NA,S
435,no,1,male,19,1,0,13507,55.9,NA,S
436,yes,1,female,33,1,2,113760,120,NA,S
437,no,3,female,8,2,2,W./C. 6608,34.375,NA,S
438,yes,2,female,17,2,3,29106,18.75,NA,S
439,no,1,male,27,1,4,19950,263,NA,S
440,no,2,male,22,0,0,C.A. 18723,10.5,NA,S
441,yes,2,female,22,1,1,F.C.C. 13529,26.25,NA,S
442,no,3,male,62,0,0,345769,9.5,NA,S
443,no,3,male,48,1,0,347076,7.775,NA,S
444,yes,2,female,39,0,0,230434,13,NA,S
445,yes,3,male,36,0,0,65306,8.1125,NA,S
446,yes,1,male,40,0,2,33638,81.8583,NA,S
447,yes,2,female,28,0,1,250644,19.5,NA,S
448,yes,1,male,24,0,0,113794,26.55,NA,C
449,yes,3,female,19,2,1,2666,19.2583,NA,S
450,yes,1,male,29,0,0,113786,30.5,NA,S
451,no,2,male,32,1,2,C.A. 34651,27.75,NA,S
452,no,3,male,62,1,0,65303,19.9667,NA,C
453,no,1,male,53,0,0,113051,27.75,NA,C
454,yes,1,male,36,1,0,17453,89.1042,NA,S
455,no,3,male,16,0,0,A/5 2817,8.05,NA,C
456,yes,3,male,19,0,0,349240,7.8958,NA,S
457,no,1,male,34,0,0,13509,26.55,NA,S
458,yes,1,female,39,1,0,17464,51.8625,NA,S
459,yes,2,female,32,0,0,F.C.C. 13531,10.5,NA,Q
460,no,3,male,25,0,0,371060,7.75,NA,S
461,yes,1,male,39,0,0,19952,26.55,NA,S
462,no,3,male,54,0,0,364506,8.05,NA,S
463,no,1,male,36,0,0,111320,38.5,NA,S
464,no,2,male,18,0,0,234360,13,NA,S
465,no,3,male,47,0,0,A/S 2816,8.05,NA,S
466,no,3,male,60,0,0,SOTON/O.Q. 3101306,7.05,NA,S
467,no,2,male,22,0,0,239853,0,NA,S
468,no,1,male,35,0,0,113792,26.55,NA,Q
469,no,3,male,52,0,0,36209,7.725,NA,C
470,yes,3,female,47,2,1,2666,19.2583,NA,S
471,no,3,male,37,0,0,323592,7.25,NA,S
472,no,3,male,36,0,0,315089,8.6625,NA,S
473,yes,2,female,49,1,2,C.A. 34651,27.75,NA,C
474,yes,2,female,49,0,0,SC/AH Basle 541,13.7917,NA,S
475,no,3,female,24,0,0,7553,9.8375,NA,S
476,no,1,male,44,0,0,110465,52,NA,S
477,no,2,male,35,1,0,31027,21,NA,S
478,no,3,male,36,1,0,3460,7.0458,NA,S
479,no,3,male,30,0,0,350060,7.5208,NA,S
480,yes,3,female,27,0,1,3101298,12.2875,NA,S
481,no,3,male,22,5,2,CA 2144,46.9,NA,S
482,no,2,male,40,0,0,239854,0,NA,S
483,no,3,male,39,0,0,A/5 3594,8.05,NA,S
484,yes,3,female,35,0,0,4134,9.5875,NA,C
485,yes,1,male,24,1,0,11967,91.0792,NA,S
486,no,3,female,34,3,1,4133,25.4667,NA,S
487,yes,1,female,26,1,0,19943,90,NA,C
488,no,1,male,4,0,0,11771,29.7,NA,S
489,no,3,male,26,0,0,A.5. 18509,8.05,NA,S
490,yes,3,male,27,1,1,C.A. 37671,15.9,NA,S
491,no,3,male,42,1,0,65304,19.9667,NA,S
492,no,3,male,20,0,0,SOTON/OQ 3101317,7.25,NA,S
493,no,1,male,21,0,0,113787,30.5,NA,C
494,no,1,male,21,0,0,PC 17609,49.5042,NA,S
